video_id,video_name,video_created_date,video_likes,video_views,video_comment,video_duration,video_duration_seconds,video_created_day,channel_id,short
hu9e9J1khZA,Head to my IG @divide.music to enter my giveaway!🤘🔥 #asta #blackclover #anime,2023-09-12,346,5155,6,PT59S,59,Tuesday,UC3P-tn_Mk1V_KE8M2On8F2w,1
T_AH2u-MUB0,🔥🤘FALL MERCH GIVEAWAY 🤘🔥 Head to my IG @divide.music to find out how to win!,2023-09-08,226,2034,10,PT5S,5,Friday,UC3P-tn_Mk1V_KE8M2On8F2w,1
QC1fHr7arjk,Have you listened to my new song? Would love to hear your thoughts 🤘 #wizardking   #blackclover,2023-09-06,553,4790,58,PT18S,18,Wednesday,UC3P-tn_Mk1V_KE8M2On8F2w,1
E-hx9egmam0,"Asta Song | ""Never Giving Up"" | Divide Music Ft. Cam Steady [Black Clover: Sword of the Wizard King]",2023-09-01,9804,202821,579,PT3M24S,204,Friday,UC3P-tn_Mk1V_KE8M2On8F2w,0
z8JTtQWfK3o,9.1.23                                 #dividemusic #newmusic #anime,2023-08-28,646,6116,49,PT7S,7,Monday,UC3P-tn_Mk1V_KE8M2On8F2w,1
l3_-adOVg_o,Full video is live on my channel! #newmusic #trending #animeshorts #comics #dccomics,2023-08-22,543,5349,9,PT29S,29,Tuesday,UC3P-tn_Mk1V_KE8M2On8F2w,1
4aoqWIxGlxM,No better feeling 😂🤘#dividemusic #theoffice #nerdcore #anime,2023-08-20,1296,10790,48,PT11S,11,Sunday,UC3P-tn_Mk1V_KE8M2On8F2w,1
E-ZsndOCCwA,"Have you listened to my newest song ""Reclaim""?",2023-08-18,808,7485,67,PT31S,31,Friday,UC3P-tn_Mk1V_KE8M2On8F2w,1
iAaShjSn-Jg,"Batman Song | ""Reclaim"" | Divide Music [DC Comics]",2023-08-04,11937,386780,654,PT3M36S,216,Friday,UC3P-tn_Mk1V_KE8M2On8F2w,0
trBwS_5JSPw,"CELL SONG | ""Perfection"" | Divide Music Ft. FabvL [Dragon Ball Z]",2023-07-14,12712,478648,833,PT4M6S,246,Friday,UC3P-tn_Mk1V_KE8M2On8F2w,0
QdHBaXkqPg4,"ALL MIGHT SONG | ""One For All"" | Divide Music | [My Hero Academia] 2023",2023-06-23,17552,789892,901,PT3M33S,213,Friday,UC3P-tn_Mk1V_KE8M2On8F2w,0
KWdLqXnComI,"Thorfinn Song | ""Against My Tide"" | Divide Music Ft. Sinewave Fox [Vinland Saga]",2023-06-02,9426,389868,464,PT3M58S,238,Friday,UC3P-tn_Mk1V_KE8M2On8F2w,0
2d5jGRRTRdc,"Trevor Belmont Song | ""Never Forget The Name"" | Divide Music [Castlevania]",2023-05-12,14270,787721,801,PT6M7S,367,Friday,UC3P-tn_Mk1V_KE8M2On8F2w,0
tnWErAV1Mgs,"Vigilante Deku Song | ""Drag Me Under"" | Divide Music [My Hero Academia]",2023-04-21,30411,1881485,1054,PT4M24S,264,Friday,UC3P-tn_Mk1V_KE8M2On8F2w,0
E3nRYd2uw38,"Obito Song | ""All That's Left"" | Divide Music [Naruto]",2023-03-31,13974,709324,716,PT4M35S,275,Friday,UC3P-tn_Mk1V_KE8M2On8F2w,0
fmk5WyIG4o8,"KAKASHI SONG | ""Light Out"" | Divide Music [Naruto Shippuden]",2023-03-17,9417,306495,374,PT3M45S,225,Friday,UC3P-tn_Mk1V_KE8M2On8F2w,0
QZjLr46iMfw,"GOKU BLACK SONG | ""Divine Justice"" | Divide Music [Dragon Ball Super]",2023-02-24,15717,883730,750,PT3M58S,238,Friday,UC3P-tn_Mk1V_KE8M2On8F2w,0
_q0uX3Y5c3k,"NARUTO SONG | ""Fire Within"" | Divide Music [Naruto Shippuden]",2023-02-03,13663,655617,662,PT3M36S,216,Friday,UC3P-tn_Mk1V_KE8M2On8F2w,0
HZgXFRSzkf8,"FUTURE TRUNKS SONG | ""Beginning of the End"" | Divide Music [Dragon Ball Super]",2023-01-20,13985,822609,646,PT3M52S,232,Friday,UC3P-tn_Mk1V_KE8M2On8F2w,0
vzHOBVUeLHM,"God of War | ""Heart of Stone"" | Divide Music [Sindri Song]",2022-12-30,8318,196711,660,PT2M49S,169,Friday,UC3P-tn_Mk1V_KE8M2On8F2w,0
IYKEtaJaqaw,"Anime Anthem | ""To The End"" | Divide Music [Naruto, My Hero Academia, Demon Slayer and more]",2022-12-23,15178,650343,707,PT4M11S,251,Friday,UC3P-tn_Mk1V_KE8M2On8F2w,0
PC_1xU1HXuk,Divide Music - To The End | Esports Anthem [Snapdragon Pro Series],2022-12-11,8028,262591,478,PT3M48S,228,Sunday,UC3P-tn_Mk1V_KE8M2On8F2w,0
Y-KNSlTJaQA,"SHIGARAKI SONG | ""Mourn No More"" | Divide Music Ft. Sinewave Fox [My Hero Academia]",2022-11-18,12218,782609,594,PT3M21S,201,Friday,UC3P-tn_Mk1V_KE8M2On8F2w,0
Z6w_JxZSiMU,"BROLY SONG | ""The One Who Knocks"" | Divide Music [Dragon Ball Super]",2022-10-28,21007,1637058,1102,PT3M44S,224,Friday,UC3P-tn_Mk1V_KE8M2On8F2w,0
5865QRMcrow,"CYBERPUNK EDGERUNNERS SONG | ""Never Enough"" | Divide Music",2022-09-30,24331,1336061,884,PT3M51S,231,Friday,UC3P-tn_Mk1V_KE8M2On8F2w,0
MRHykxpMwIg,"LUFFY SONG | ""The Grand Line"" | Divide Music [One Piece]",2022-09-16,16004,812340,1058,PT3M46S,226,Friday,UC3P-tn_Mk1V_KE8M2On8F2w,0
GTD83K-PKRc,Divide Music - you. (feat. Golden Emp),2022-09-02,9278,225140,462,PT3M39S,219,Friday,UC3P-tn_Mk1V_KE8M2On8F2w,0
zV9FRcSlWKw,"MINATO SONG | ""Flash"" | Divide Music [Naruto]",2022-08-12,15805,960963,770,PT4M5S,245,Friday,UC3P-tn_Mk1V_KE8M2On8F2w,0
aKYPpT4ZPeA,"LELOUCH SONG | ""The Crown"" | Divide Music [Code Geass]",2022-07-22,12908,653018,563,PT3M33S,213,Friday,UC3P-tn_Mk1V_KE8M2On8F2w,0
3uMku45tcXo,"TEEN GOHAN SONG | ""Never Alone"" | Divide Music [Dragon Ball]",2022-07-01,24786,1903869,1104,PT3M37S,217,Friday,UC3P-tn_Mk1V_KE8M2On8F2w,0
ud9-CeqebJc,"MADARA SONG | ""WAR"" | Divide Music Ft. Sinewave Fox [Naruto]",2022-06-10,22939,1490279,907,PT3M29S,209,Friday,UC3P-tn_Mk1V_KE8M2On8F2w,0
x5m3l16cjGo,"ASTA SONG | ""The Other Side"" | Divide Music [Black Clover]",2022-05-20,17900,1059985,788,PT3M33S,213,Friday,UC3P-tn_Mk1V_KE8M2On8F2w,0
ltFyiPtthro,"RED HOOD SONG | ""D.I.T.F"" | Divide Music [DC Comics]",2022-04-15,17332,861887,655,PT3M28S,208,Friday,UC3P-tn_Mk1V_KE8M2On8F2w,0
8E2XPWOH08g,"GOKU SONG | ""POWER"" | Divide Music [Dragon Ball Super]",2022-03-18,37539,3232838,1505,PT3M54S,234,Friday,UC3P-tn_Mk1V_KE8M2On8F2w,0
U6W_AGPUdb8,"A SILENT VOICE SONG | ""you."" | Divide Music Ft. @GoldenEMP  [A Silent Voice]",2022-03-04,12128,356740,709,PT3M44S,224,Friday,UC3P-tn_Mk1V_KE8M2On8F2w,0
pJrVgIAf20U,"GUTS SONG | ""Pressure"" | Divide Music [Berserk]",2022-02-04,28696,1714642,1027,PT3M35S,215,Friday,UC3P-tn_Mk1V_KE8M2On8F2w,0
9Ajo2fLLF1c,"AIZEN SONG | ""Darkest Hour"" | Divide Music Ft DizzyEight [Bleach]",2022-01-21,13770,773416,577,PT3M30S,210,Friday,UC3P-tn_Mk1V_KE8M2On8F2w,0
zDe6BMpl4Ak,"JINX SONG | ""DOMINO"" | Divide Music [ARCANE]",2022-01-07,20508,1096087,890,PT3M8S,188,Friday,UC3P-tn_Mk1V_KE8M2On8F2w,0
XKhgLwQnzlY,"Divide Music - ""Heart of The Night"" (The Witcher Season 2 Song)",2021-12-17,12553,789969,501,PT5M43S,343,Friday,UC3P-tn_Mk1V_KE8M2On8F2w,0
9H8s8YKEYnM,"Divide Music - ""No Way Home"" (Spider-Man: No Way Home Song)",2021-12-03,21965,1392415,1103,PT4M7S,247,Friday,UC3P-tn_Mk1V_KE8M2On8F2w,0
QNpRh_0Zt-A,"KILLUA SONG | ""OUTCAST"" | Divide Music Ft. Laur Lindmae [Hunter x Hunter]",2021-11-19,13500,751246,574,PT4M18S,258,Friday,UC3P-tn_Mk1V_KE8M2On8F2w,0
Yr9qCOQijms,Divide Music - always hated goodbyes,2021-11-05,15174,670729,1182,PT3M53S,233,Friday,UC3P-tn_Mk1V_KE8M2On8F2w,0
